341 , None , 116
109 , None , 95
578 , None , 89
351 , None , 81
361 , None , 54
344 , None , 44
107 , None , 31
112 , None , 22
105 , None , 21
110 , None , 20
348 , None , 10
233 , None , 9
126 , None , 9
121 , None , 8
340 , None , 7
106 , None , 5
353 , None , 4
347 , None , 3
114 , None , 3
113 , None , 3
236 , None , 3
365 , None , 3
355 , None , 2
235 , None , 2
343 , None , 2
116 , None , 2
117 , None , 1
675 , None , 1
104 , None , 1
572 , None , 1
359 , None , 1
238 , None , 1
352 , None , 1
341 , 1015 , 3
109 , 1015 , 2
126 , 1015 , 1
106 , 1015 , 1
344 , 1015 , 1
233 , 1015 , 1
341 , 1016 , 4
578 , 1016 , 3
109 , 1016 , 2
106 , 1016 , 1
340 , 1016 , 1
348 , 1016 , 1
104 , 1016 , 1
344 , 1016 , 1
126 , 1016 , 1
341 , 1026 , 2
578 , 1026 , 1
351 , 1026 , 1
107 , 1026 , 1
107 , 1900 , 2
578 , 1900 , 1
344 , 1900 , 1
340 , 1900 , 1
109 , 1905 , 2
578 , 1906 , 1
105 , 1908 , 1
578 , 1908 , 1
361 , 1908 , 1
121 , 1909 , 1
112 , 1909 , 1
361 , 1909 , 1
109 , 1910 , 3
112 , 1910 , 2
578 , 1910 , 2
351 , 1910 , 1
361 , 1910 , 1
112 , 1911 , 2
341 , 1911 , 2
578 , 1911 , 1
109 , 1911 , 1
361 , 1911 , 1
361 , 1912 , 3
341 , 1912 , 3
359 , 1912 , 1
112 , 1912 , 1
105 , 1912 , 1
351 , 1912 , 1
109 , 1913 , 2
341 , 1913 , 2
121 , 1913 , 1
107 , 1913 , 1
112 , 1913 , 1
578 , 1913 , 1
105 , 1913 , 1
351 , 1914 , 3
361 , 1914 , 2
341 , 1914 , 1
109 , 1914 , 1
107 , 1914 , 1
114 , 1914 , 1
348 , 1914 , 1
578 , 1914 , 1
109 , 1915 , 2
341 , 1915 , 2
126 , 1915 , 1
344 , 1915 , 1
351 , 1915 , 1
110 , 1915 , 1
344 , 1916 , 2
109 , 1916 , 1
351 , 1916 , 1
578 , 1916 , 1
341 , 1916 , 1
121 , 1919 , 1
351 , 1920 , 1
578 , 1920 , 1
361 , 1920 , 1
109 , 1920 , 1
344 , 1920 , 1
348 , 1920 , 1
351 , 1922 , 1
341 , 1929 , 1
578 , 1930 , 1
112 , 1938 , 1
107 , 1940 , 1
341 , 1941 , 1
112 , 1941 , 1
578 , 1942 , 2
106 , 1945 , 1
107 , 1945 , 1
361 , 1946 , 1
109 , 1946 , 1
361 , 1948 , 1
578 , 1950 , 1
109 , 1950 , 1
344 , 1950 , 1
344 , 1954 , 1
109 , 1954 , 1
578 , 1955 , 2
106 , 1955 , 1
109 , 1956 , 1
101 , 1958 , 1
341 , 1959 , 1
106 , 1959 , 1
351 , 1960 , 2
578 , 1960 , 2
109 , 1960 , 1
106 , 1960 , 1
361 , 1960 , 1
352 , 1960 , 1
101 , 1960 , 1
