null,0
1,67833
5,49336
6,59560
7,45260
9,67823
10,47387
13,81146
14,129698
17,35948
18,87367
19,72282
20,44809
22,4745
23,73157
24,55262
25,74074
26,37214
28,58726
30,54067
32,77347
33,49354
34,59373
40,131263
41,77482
42,86638
43,149574
44,139345
45,70584
46,120766
47,100858
48,89856
49,75096
50,51093
52,117083
60,70868
61,69943
62,67356
63,59385
66,54037
67,104817
68,56429
69,54781
70,88968
71,78910
72,60112
73,116370
75,180540
76,31553
77,83026
78,38860
79,88564
81,70473
83,75546
84,56813
88,50089
90,72205
94,37251
100,28783
101,45794
102,71017
103,87813
104,81153
105,81255
106,67368
107,58302
108,58628
109,88289
110,75155
111,36055
112,40050
113,95870
114,100800
115,89295
120,117491
121,23879
122,87696
123,36650
