null,0
(33.7189, -118.3022),8
(33.7189, -118.3055),29
(33.719, -118.2873),1
(33.719, -118.2946),35
(33.719, -118.2992),6
(33.719, -118.32),31
(33.7191, -118.2972),13
(33.7192, -118.2839),86
(33.7192, -118.3012),2
(33.7192, -118.3085),10
(33.7193, -118.2861),1
(33.7193, -118.2879),3
(33.7193, -118.3066),5
(33.7193, -118.3194),2
(33.7194, -118.2981),4
(33.7194, -118.3215),11
(33.7194, -118.3216),11
(33.7195, -118.3051),1
(33.7196, -118.2561),4
(33.7196, -118.3033),4
(33.7197, -118.2889),6
(33.7197, -118.2898),10
(33.7197, -118.2907),9
(33.7197, -118.2909),7
(33.7197, -118.2916),21
(33.7197, -118.2929),19
(33.7197, -118.2938),5
(33.7197, -118.2946),12
(33.7197, -118.325),4
(33.7198, -118.2968),4
(33.7198, -118.2969),6
(33.7198, -118.299),19
(33.7198, -118.3013),2
(33.7198, -118.3019),1
(33.7198, -118.321),8
(33.7199, -118.311),1
(33.7199, -118.3255),9
(33.72, -118.2762),4
(33.72, -118.288),10
(33.72, -118.2983),1
(33.7201, -118.2757),1
(33.7201, -118.2969),1
(33.7201, -118.3028),8
(33.7203, -118.3026),11
(33.7203, -118.3084),9
(33.7204, -118.2968),11
(33.7205, -118.3119),11
(33.7205, -118.312),1
(33.7206, -118.288),84
(33.7206, -118.2885),1
(33.7206, -118.2889),18
(33.7206, -118.2898),53
(33.7206, -118.2907),17
(33.7206, -118.2916),25
(33.7206, -118.2929),8
(33.7206, -118.2938),52
(33.7206, -118.2946),13
(33.7206, -118.2959),2
(33.7206, -118.3252),11
(33.7207, -118.2968),53
(33.7207, -118.299),54
(33.7207, -118.3013),20
(33.7207, -118.3093),1
(33.7207, -118.3108),29
(33.7208, -118.2946),5
(33.7208, -118.3023),4
(33.7208, -118.3032),13
(33.7208, -118.3056),32
(33.7208, -118.3113),3
(33.7208, -118.328),4
(33.7209, -118.2946),17
(33.7209, -118.3223),4
(33.721, -118.2764),1
(33.721, -118.3093),31
(33.721, -118.3205),13
(33.7211, -118.2916),47
(33.7211, -118.3194),4
(33.7212, -118.2835),15
(33.7212, -118.2909),8
(33.7212, -118.2937),9
(33.7212, -118.3146),1
(33.7212, -118.3148),1
(33.7212, -118.3224),2
(33.7212, -118.3264),1
(33.7213, -118.319),6
(33.7214, -118.2821),1
(33.7214, -118.2927),30
(33.7214, -118.3137),1
(33.7214, -118.325),9
(33.7215, -118.2846),1
(33.7215, -118.289),12
(33.7215, -118.2928),1
(33.7215, -118.2929),1
(33.7215, -118.3129),1
(33.7215, -118.3132),1
(33.7215, -118.3202),2
(33.7216, -118.2818),21
(33.7216, -118.2925),15
(33.7216, -118.2946),32
(33.7216, -118.2968),39
(33.7216, -118.299),94
(33.7216, -118.3012),31
(33.7216, -118.3032),1
(33.7216, -118.3035),20
(33.7216, -118.3056),22
(33.7216, -118.3073),1
(33.7216, -118.3083),126
(33.7216, -118.3127),1
(33.7217, -118.3127),1
(33.7217, -118.3276),7
(33.7218, -118.2729),2
(33.7218, -118.2814),4
(33.7218, -118.288),2
(33.7218, -118.3149),1
(33.7219, -118.2911),29
(33.7219, -118.311),16
(33.7219, -118.3123),1
(33.722, -118.3197),6
(33.7222, -118.3226),11
(33.7223, -118.2888),5
(33.7223, -118.3248),7
(33.7224, -118.2897),1
(33.7224, -118.2902),46
(33.7224, -118.2924),89
(33.7224, -118.2927),4
(33.7224, -118.3203),5
(33.7225, -118.2882),5
(33.7225, -118.2893),33
(33.7225, -118.2895),10
(33.7225, -118.2946),52
(33.7225, -118.2968),36
(33.7225, -118.299),49
(33.7225, -118.3012),83
(33.7225, -118.3034),38
(33.7225, -118.3056),9
(33.7225, -118.3146),8
(33.7225, -118.3157),7
(33.7225, -118.3267),10
(33.7226, -118.2848),4
(33.7226, -118.3185),20
(33.7227, -118.3211),2
(33.7229, -118.288),17
(33.7229, -118.3157),10
(33.7229, -118.3162),1
(33.7229, -118.3173),1
(33.723, -118.3129),106
(33.723, -118.318),7
(33.7232, -118.2769),3
(33.7232, -118.3133),14
(33.7233, -118.3245),4
(33.7234, -118.2842),1
(33.7234, -118.288),94
(33.7234, -118.29),1
(33.7234, -118.2902),84
(33.7234, -118.2924),43
(33.7234, -118.2946),39
(33.7234, -118.2968),33
(33.7234, -118.299),100
(33.7234, -118.3012),69
(33.7234, -118.3034),29
(33.7234, -118.3045),1
(33.7234, -118.3056),6
(33.7235, -118.2735),1
(33.7235, -118.2849),1
(33.7237, -118.3126),15
(33.7237, -118.3202),6
(33.7239, -118.3237),2
(33.724, -118.3096),1
(33.724, -118.3148),25
(33.724, -118.3158),1
(33.7241, -118.3122),9
(33.7242, -118.2838),1
(33.7242, -118.2866),1
(33.7242, -118.2869),50
(33.7242, -118.3167),12
(33.7242, -118.3193),3
(33.7242, -118.3233),2
(33.7243, -118.2858),70
(33.7243, -118.288),166
(33.7243, -118.2902),104
(33.7243, -118.2924),34
(33.7243, -118.2946),31
(33.7243, -118.2963),151
(33.7243, -118.2968),24
(33.7243, -118.299),49
(33.7243, -118.3012),52
(33.7243, -118.3034),36
(33.7243, -118.3045),1
(33.7243, -118.3056),16
(33.7243, -118.3074),9
(33.7244, -118.3124),5
(33.7244, -118.322),20
(33.7245, -118.2846),14
(33.7245, -118.3175),7
(33.7245, -118.3194),1
(33.7245, -118.3229),12
(33.7246, -118.3144),1
(33.7247, -118.3169),2
(33.7248, -118.3082),4
(33.7248, -118.3183),3
(33.7248, -118.3226),1
(33.7249, -118.3118),10
(33.7251, -118.2824),20
(33.7251, -118.2858),77
(33.7251, -118.3121),1
(33.7251, -118.3222),1
(33.7252, -118.2776),1
(33.7252, -118.282),25
(33.7252, -118.288),112
(33.7252, -118.2902),66
(33.7252, -118.2905),1
(33.7252, -118.2924),66
(33.7252, -118.2946),31
(33.7252, -118.2968),39
(33.7252, -118.299),38
(33.7252, -118.3012),28
(33.7252, -118.3034),10
(33.7252, -118.3056),14
(33.7252, -118.3078),2
(33.7253, -118.319),7
(33.7253, -118.32),1
(33.7254, -118.3131),2
(33.7254, -118.3157),8
(33.7254, -118.3166),1
(33.7254, -118.3218),5
(33.7255, -118.315),20
(33.7257, -118.2766),224
(33.7257, -118.2801),85
(33.7257, -118.3118),12
(33.7258, -118.2797),2
(33.726, -118.3128),2
(33.726, -118.321),43
(33.7261, -118.2848),8
(33.7261, -118.2851),1
(33.7261, -118.2858),60
(33.7261, -118.288),132
(33.7261, -118.2902),82
(33.7261, -118.2924),67
