null,0
(34.0219, -118.3592),8
(34.0219, -118.3757),12
(34.0219, -118.4073),3
(34.0219, -118.4094),52
(34.022, -118.1947),24
(34.022, -118.2093),8
(34.022, -118.2159),6
(34.022, -118.2201),6
(34.022, -118.2328),3
(34.022, -118.2331),21
(34.022, -118.2335),10
(34.022, -118.2447),1
(34.022, -118.246),73
(34.022, -118.2478),15
(34.022, -118.2573),27
(34.022, -118.2691),30
(34.022, -118.277),24
(34.022, -118.2824),7
(34.022, -118.289),185
(34.022, -118.2959),4
(34.022, -118.3318),5
(34.022, -118.3771),8
(34.022, -118.4128),10
(34.022, -118.4223),53
(34.0221, -118.1923),10
(34.0221, -118.2014),48
(34.0221, -118.2072),2
(34.0221, -118.2137),49
(34.0221, -118.2201),1
(34.0221, -118.2519),29
(34.0221, -118.2527),28
(34.0221, -118.2915),96
(34.0221, -118.2938),11
(34.0221, -118.2944),100
(34.0221, -118.3363),46
(34.0221, -118.4022),1
(34.0221, -118.4166),113
(34.0222, -117.8766),1
(34.0222, -118.2115),3
(34.0222, -118.2137),1
(34.0222, -118.2201),1
(34.0222, -118.2394),4
(34.0222, -118.3227),74
(34.0222, -118.3339),1
(34.0222, -118.3373),30
(34.0222, -118.367),18
(34.0222, -118.3692),2
(34.0222, -118.3701),1
(34.0222, -118.4068),116
(34.0222, -118.432),17
(34.0222, -118.442),1
(34.0222, -118.4436),5
(34.0222, -118.4456),4
(34.0223, -118.1933),1
(34.0223, -118.2533),6
(34.0223, -118.2718),39
(34.0223, -118.2719),54
(34.0223, -118.3329),1
(34.0223, -118.3383),36
(34.0223, -118.3571),6
(34.0223, -118.3593),3
(34.0223, -118.4168),11
(34.0223, -118.4416),6
(34.0223, -118.4456),16
(34.0224, -118.2043),38
(34.0224, -118.2091),10
(34.0224, -118.2114),14
(34.0224, -118.2393),3
(34.0224, -118.2425),1
(34.0224, -118.2486),1
(34.0224, -118.2524),182
(34.0224, -118.2559),73
(34.0224, -118.2583),86
(34.0224, -118.2866),37
(34.0224, -118.3351),12
(34.0224, -118.4002),52
(34.0224, -118.4216),9
(34.0225, -118.2156),81
(34.0225, -118.2207),2
(34.0225, -118.2325),10
(34.0225, -118.2355),28
(34.0225, -118.2523),36
(34.0225, -118.2607),104
(34.0225, -118.2613),20
(34.0225, -118.2633),63
(34.0225, -118.2702),48
(34.0225, -118.2748),48
(34.0225, -118.278),19
(34.0225, -118.2796),204
(34.0225, -118.3166),9
(34.0225, -118.334),2
(34.0225, -118.3571),18
(34.0225, -118.3576),3
(34.0225, -118.3587),4
(34.0225, -118.3593),6
(34.0225, -118.4247),33
(34.0225, -118.4368),1
(34.0226, -118.198),6
(34.0226, -118.207),64
(34.0226, -118.2182),19
(34.0226, -118.2199),3
(34.0226, -118.2393),13
(34.0226, -118.2539),40
(34.0226, -118.2607),16
(34.0226, -118.266),61
(34.0226, -118.2838),84
(34.0226, -118.3351),37
(34.0226, -118.3723),1
(34.0226, -118.4003),5
(34.0226, -118.4099),19
(34.0226, -118.4276),7
(34.0227, -118.1942),47
(34.0227, -118.2113),7
(34.0227, -118.2293),3
(34.0227, -118.2301),40
(34.0227, -118.2454),15
(34.0227, -118.3351),136
(34.0227, -118.3363),4
(34.0227, -118.3452),1
(34.0227, -118.4057),91
(34.0227, -118.4133),10
(34.0227, -118.4311),10
(34.0227, -118.4387),103
(34.0227, -118.4409),6
(34.0228, -118.2009),138
(34.0228, -118.2075),10
(34.0228, -118.2133),58
(34.0228, -118.2568),18
(34.0228, -118.2592),25
(34.0228, -118.2686),83
(34.0228, -118.2729),36
(34.0228, -118.3002),108
(34.0228, -118.3031),70
(34.0228, -118.3047),11
(34.0228, -118.306),52
(34.0228, -118.3089),113
(34.0228, -118.3119),99
(34.0228, -118.3138),42
(34.0228, -118.3156),25
(34.0228, -118.3351),11
(34.0228, -118.3355),20
(34.0228, -118.3373),3
(34.0228, -118.4208),54
(34.0229, -118.1923),1
(34.0229, -118.2154),38
(34.0229, -118.218),7
(34.0229, -118.2216),12
(34.0229, -118.2301),2
(34.0229, -118.252),25
(34.0229, -118.2643),2
(34.0229, -118.2959),23
(34.0229, -118.2974),78
(34.0229, -118.3177),29
(34.0229, -118.3189),49
(34.0229, -118.3201),62
(34.0229, -118.3213),41
(34.0229, -118.3218),1
(34.0229, -118.3224),71
(34.0229, -118.3236),41
(34.0229, -118.3364),1
(34.0229, -118.3984),5
(34.0229, -118.3995),69
(34.0229, -118.4054),1
(34.0229, -118.4102),59
(34.0229, -118.4197),1
(34.0229, -118.436),11
(34.0229, -118.4441),1
(34.023, -118.208),22
(34.023, -118.2439),8
(34.023, -118.2511),21
(34.023, -118.2733),6
(34.023, -118.2777),3
(34.023, -118.2793),5
(34.023, -118.2824),56
(34.023, -118.2944),119
(34.023, -118.3248),72
(34.023, -118.326),23
(34.023, -118.3272),49
(34.023, -118.3283),45
(34.023, -118.3295),34
(34.023, -118.3369),21
(34.023, -118.3383),1
(34.023, -118.351),272
(34.023, -118.3581),4
(34.023, -118.3616),18
(34.023, -118.3669),20
(34.023, -118.3996),3
(34.023, -118.4422),7
(34.0231, -118.2039),39
(34.0231, -118.2374),10
(34.0231, -118.2393),5
(34.0231, -118.248),41
(34.0231, -118.2526),3
(34.0231, -118.2617),1
(34.0231, -118.2698),47
(34.0231, -118.2764),7
(34.0231, -118.2832),5
(34.0231, -118.287),44
(34.0231, -118.2915),208
(34.0231, -118.2938),40
(34.0231, -118.3374),3
(34.0231, -118.3393),35
(34.0231, -118.3571),5
(34.0231, -118.3692),10
(34.0231, -118.3991),1
(34.0231, -118.4303),7
(34.0231, -118.4433),4
(34.0231, -118.4488),1
(34.0232, -118.2406),2
(34.0232, -118.2409),34
(34.0232, -118.2414),20
(34.0232, -118.2554),49
(34.0232, -118.2578),43
(34.0232, -118.2873),1
(34.0232, -118.3305),5
(34.0232, -118.3404),31
(34.0232, -118.3554),107
(34.0232, -118.3593),4
(34.0232, -118.3605),15
(34.0232, -118.3701),8
(34.0232, -118.4212),1
(34.0233, -118.2064),38
(34.0233, -118.2085),34
(34.0233, -118.2199),52
(34.0233, -118.2222),50
(34.0233, -118.2312),10
(34.0233, -118.2424),29
(34.0233, -118.2516),164
(34.0233, -118.2602),82
(34.0233, -118.2697),28
(34.0233, -118.2791),1
(34.0233, -118.3413),16
(34.0233, -118.3625),9
(34.0233, -118.3635),9
(34.0233, -118.3643),9
(34.0233, -118.3644),20
(34.0233, -118.3646),1
(34.0233, -118.3987),31
(34.0233, -118.4046),148
(34.0233, -118.4105),28
(34.0233, -118.42),11
(34.0233, -118.4352),12
(34.0233, -118.4462),7
(34.0234, -118.1999),1
(34.0234, -118.2101),94
(34.0234, -118.2112),12
(34.0234, -118.2177),144
(34.0234, -118.2229),38
(34.0234, -118.233),1
(34.0234, -118.2393),33
(34.0234, -118.2438),25
(34.0234, -118.2515),1
(34.0234, -118.2654),132
(34.0234, -118.2704),1
(34.0234, -118.2725),2
(34.0234, -118.2743),42
(34.0234, -118.3317),9
(34.0234, -118.3395),3
(34.0234, -118.3422),31
(34.0234, -118.3554),142
(34.0234, -118.3723),5
(34.0234, -118.3988),4
(34.0234, -118.4139),40
(34.0234, -118.4188),2
(34.0234, -118.4224),9
(34.0234, -118.4235),3
(34.0234, -118.4414),16
(34.0234, -118.4459),1
(34.0234, -118.4474),12
(34.0235, -118.1937),32
(34.0235, -118.209),13
(34.0235, -118.2104),2
(34.0235, -118.2112),5
(34.0235, -118.2152),41
(34.0235, -118.2318),5
(34.0235, -118.2448),33
(34.0235, -118.2534),20
(34.0235, -118.2626),62
(34.0235, -118.2627),6
(34.0235, -118.2681),26
(34.0235, -118.279),14
(34.0235, -118.2858),449
(34.0235, -118.2881),39
(34.0235, -118.3405),4
(34.0235, -118.3432),19
(34.0235, -118.4393),3
(34.0236, -118.1974),13
(34.0236, -118.2005),82
(34.0236, -118.2336),5
(34.0236, -118.2393),33
(34.0236, -118.2447),16
(34.0236, -118.2563),19
(34.0236, -118.2587),10
(34.0236, -118.2709),26
(34.0236, -118.2773),14
(34.0236, -118.2838),2
(34.0236, -118.3166),15
(34.0236, -118.3177),18
(34.0236, -118.3317),1
(34.0236, -118.3327),5
(34.0236, -118.3411),29
(34.0236, -118.3977),1
(34.0236, -118.448),2
(34.0237, -118.2094),1
(34.0237, -118.2286),6
(34.0237, -118.23),3
(34.0237, -118.2324),4
(34.0237, -118.2422),1
(34.0237, -118.2512),12
(34.0237, -118.2551),2
(34.0237, -118.2632),4
(34.0237, -118.284),42
(34.0237, -118.2959),3
(34.0237, -118.2974),50
(34.0237, -118.298),1
(34.0237, -118.3002),100
(34.0237, -118.3032),60
(34.0237, -118.3047),10
(34.0237, -118.3061),31
(34.0237, -118.3089),59
(34.0237, -118.3119),28
(34.0237, -118.3138),24
(34.0237, -118.3156),11
(34.0237, -118.3405),2
(34.0237, -118.3442),35
(34.0237, -118.4246),22
(34.0237, -118.4294),84
(34.0237, -118.4366),70
(34.0238, -118.2058),45
(34.0238, -118.2111),33
(34.0238, -118.2459),3
(34.0238, -118.2474),13
(34.0238, -118.2511),18
(34.0238, -118.2633),11
(34.0238, -118.2693),29
(34.0238, -118.3338),3
(34.0238, -118.3417),1
(34.0238, -118.3429),3
(34.0238, -118.3452),61
(34.0238, -118.3582),14
(34.0238, -118.3614),1
(34.0238, -118.3669),131
(34.0238, -118.3978),36
(34.0238, -118.4095),131
(34.0238, -118.4167),1
(34.0238, -118.4176),2
(34.0238, -118.4191),27
(34.0238, -118.4216),22
(34.0238, -118.4343),7
(34.0238, -118.4407),9
(34.0239, -118.2034),95
(34.0239, -118.2144),41
(34.0239, -118.233),6
(34.0239, -118.2665),2
(34.0239, -118.2879),1
(34.0239, -118.3439),1
(34.0239, -118.346),211
(34.0239, -118.3605),12
(34.0239, -118.3669),51
(34.0239, -118.4035),110
(34.0239, -118.4258),4
(34.0239, -118.4448),21
(34.024, -118.1923),24
(34.024, -118.2126),29
(34.024, -118.23),3
(34.024, -118.242),2
(34.024, -118.2518),8
(34.024, -118.2638),2
(34.024, -118.2692),18
(34.024, -118.2756),16
(34.024, -118.2835),6
(34.024, -118.3351),7
(34.024, -118.3363),15
(34.024, -118.3374),8
(34.024, -118.3384),8
(34.024, -118.3445),20
(34.024, -118.345),4
(34.024, -118.346),6
(34.024, -118.3681),1
(34.024, -118.3692),69
(34.024, -118.3966),1
(34.024, -118.3979),3
(34.024, -118.409),100
(34.024, -118.411),16
(34.0241, -118.1971),1
(34.0241, -118.2059),24
(34.0241, -118.2103),14
(34.0241, -118.232),76
(34.0241, -118.2414),6
(34.0241, -118.2446),12
(34.0241, -118.247),8
(34.0241, -118.2548),44
(34.0241, -118.2573),43
(34.0241, -118.2597),60
(34.0241, -118.2699),1
(34.0241, -118.272),68
(34.0241, -118.3212),17
(34.0241, -118.3224),12
(34.0241, -118.3236),29
(34.0241, -118.3248),24
(34.0241, -118.326),37
(34.0241, -118.3283),24
(34.0241, -118.3294),18
(34.0241, -118.3351),50
(34.0241, -118.346),17
(34.0241, -118.4144),8
(34.0242, -118.2172),4
(34.0242, -118.2471),6
(34.0242, -118.2472),4
(34.0242, -118.2623),180
(34.0242, -118.2642),4
(34.0242, -118.276),1
(34.0242, -118.2786),33
(34.0242, -118.2931),36
(34.0242, -118.2938),15
(34.0242, -118.2945),69
(34.0242, -118.2949),2
(34.0242, -118.2959),39
(34.0242, -118.3272),30
(34.0242, -118.3305),28
(34.0242, -118.346),4
(34.0242, -118.3466),26
(34.0242, -118.3722),1189
(34.0242, -118.4183),100
(34.0242, -118.4207),8
(34.0242, -118.4335),6
(34.0242, -118.4398),10
(34.0242, -118.4442),6
(34.0243, -118.1931),48
(34.0243, -118.2032),1
(34.0243, -118.2198),261
(34.0243, -118.2419),17
(34.0243, -118.2526),29
(34.0243, -118.2649),18
(34.0243, -118.2704),32
(34.0243, -118.2725),14
(34.0243, -118.2806),62
(34.0243, -118.2853),57
(34.0243, -118.2876),324
(34.0243, -118.2915),18
(34.0243, -118.3317),22
(34.0243, -118.3484),1
(34.0243, -118.3669),30
(34.0243, -118.3931),1
(34.0243, -118.3941),2
(34.0243, -118.4028),7
(34.0243, -118.4084),132
(34.0243, -118.4375),3
(34.0243, -118.4822),1
(34.0244, -118.1993),1
(34.0244, -118.2023),5
(34.0244, -118.2169),75
(34.0244, -118.2349),3
(34.0244, -118.2393),1
(34.0244, -118.2648),30
(34.0244, -118.2676),62
(34.0244, -118.2855),37
(34.0244, -118.3327),27
(34.0244, -118.3968),31
(34.0244, -118.4232),2
(34.0244, -118.4352),14
(34.0244, -118.4441),1
(34.0245, -118.2112),11
(34.0245, -118.2132),3
(34.0245, -118.2143),99
(34.0245, -118.2349),1
(34.0245, -118.243),50
(34.0245, -118.244),178
(34.0245, -118.2505),105
(34.0245, -118.2557),12
(34.0245, -118.2582),13
(34.0245, -118.2768),25
(34.0245, -118.2959),2
(34.0245, -118.3338),36
(34.0245, -118.3956),6
(34.0245, -118.3969),2
(34.0245, -118.4338),1
(34.0245, -118.4442),7
(34.0245, -118.4463),22
(34.0246, -118.1937),56
(34.0246, -118.1967),6
(34.0246, -118.1998),71
(34.0246, -118.2349),2
(34.0246, -118.2392),2
(34.0246, -118.2621),2
(34.0246, -118.2772),9
(34.0246, -118.2813),22
(34.0246, -118.2882),1
(34.0246, -118.2959),1
(34.0246, -118.2975),102
(34.0246, -118.2981),21
(34.0246, -118.3002),158
(34.0246, -118.3031),76
(34.0246, -118.3047),25
(34.0246, -118.3138),102
(34.0246, -118.3156),69
(34.0246, -118.3363),14
(34.0246, -118.3374),4
(34.0246, -118.3384),19
(34.0246, -118.3484),3
(34.0246, -118.3508),4
(34.0246, -118.4326),18
(34.0246, -118.439),5
(34.0246, -118.4433),12
(34.0247, -118.2029),47
(34.0247, -118.2117),4
(34.0247, -118.236),44
(34.0247, -118.2734),31
(34.0247, -118.2751),2
(34.0247, -118.306),51
(34.0247, -118.3068),2
(34.0247, -118.3089),229
(34.0247, -118.3119),53
(34.0247, -118.3514),30
(34.0247, -118.352),7
(34.0247, -118.3552),27
(34.0247, -118.3668),71
(34.0247, -118.3958),2
(34.0247, -118.4116),55
(34.0247, -118.4133),1
(34.0247, -118.4174),8
(34.0247, -118.4198),3
(34.0247, -118.4246),37
(34.0247, -118.4454),75
(34.0248, -118.1956),55
(34.0248, -118.2054),60
(34.0248, -118.2075),14
(34.0248, -118.2158),22
(34.0248, -118.2211),19
(34.0248, -118.2299),20
(34.0248, -118.2349),9
(34.0248, -118.2392),3
(34.0248, -118.2441),43
(34.0248, -118.246),12
(34.0248, -118.266),40
(34.0248, -118.2715),117
(34.0248, -118.2753),1
(34.0248, -118.2818),57
(34.0248, -118.3351),18
(34.0248, -118.3552),91
(34.0248, -118.4021),131
(34.0248, -118.4149),92
(34.0248, -118.4266),32
(34.0249, -118.2121),44
(34.0249, -118.2198),8
(34.0249, -118.2401),1
(34.0249, -118.2592),83
(34.0249, -118.2687),86
(34.0249, -118.2733),12
(34.0249, -118.2938),1
(34.0249, -118.3002),3
(34.0249, -118.3551),6
(34.0249, -118.3552),6
(34.0249, -118.3572),7
(34.0249, -118.369),115
(34.0249, -118.3959),31
(34.0249, -118.4074),93
(34.0249, -118.4118),16
(34.0249, -118.4189),17
(34.0249, -118.4341),2
(34.0249, -118.438),8
(34.0249, -118.4426),12
(34.0249, -118.4455),24
(34.025, -118.2323),11
(34.025, -118.237),8
(34.025, -118.2465),31
(34.025, -118.2515),11
(34.025, -118.2542),42
(34.025, -118.2567),12
(34.025, -118.2586),6
(34.025, -118.2618),65
(34.025, -118.3551),45
(34.025, -118.3582),9
(34.025, -118.3947),5
(34.025, -118.396),5
(34.025, -118.4318),11
(34.0251, -118.1995),1
(34.0251, -118.2179),64
(34.0251, -118.2392),3
(34.0251, -118.278),153
(34.0251, -118.2801),1
(34.0251, -118.287),44
(34.0251, -118.3201),51
(34.0251, -118.3722),5
(34.0251, -118.4813),1
(34.0252, -118.2084),5
(34.0252, -118.2146),55
(34.0252, -118.2415),6
(34.0252, -118.2499),25
(34.0252, -118.2591),11
(34.0252, -118.2644),35
(34.0252, -118.2827),6
(34.0252, -118.3439),11
(34.0252, -118.3603),1
(34.0252, -118.4013),57
(34.0252, -118.4041),77
(34.0252, -118.4269),1
(34.0252, -118.4336),58
(34.0252, -118.4449),4
(34.0253, -117.8399),1
(34.0253, -118.1923),18
(34.0253, -118.213),25
(34.0253, -118.219),2
(34.0253, -118.2221),5
(34.0253, -118.2224),594
(34.0253, -118.2381),9
(34.0253, -118.2498),8
(34.0253, -118.2625),27
(34.0253, -118.267),21
(34.0253, -118.2763),44
(34.0253, -118.2832),2
(34.0253, -118.3613),15
(34.0253, -118.4107),95
(34.0253, -118.4116),4
(34.0253, -118.4121),67
(34.0253, -118.4354),11
(34.0253, -118.4419),11
(34.0254, -118.2227),13
(34.0254, -118.2336),1
(34.0254, -118.2384),20
(34.0254, -118.2525),25
(34.0254, -118.2551),21
(34.0254, -118.2576),4
(34.0254, -118.2592),3
(34.0254, -118.2627),2
(34.0254, -118.2629),48
(34.0254, -118.2698),42
(34.0254, -118.2729),69
(34.0254, -118.2787),17
(34.0254, -118.3201),1
(34.0254, -118.3624),12
(34.0254, -118.395),50
(34.0254, -118.4431),8
(34.0255, -118.2017),9
(34.0255, -118.2071),31
(34.0255, -118.2197),20
(34.0255, -118.2392),74
(34.0255, -118.2746),9
(34.0255, -118.2839),106
(34.0255, -118.2882),8
(34.0255, -118.2892),45
(34.0255, -118.2915),269
(34.0255, -118.2937),49
(34.0255, -118.2938),5
(34.0255, -118.2948),93
(34.0255, -118.2959),72
(34.0255, -118.2965),3
(34.0255, -118.297),52
(34.0255, -118.2981),23
(34.0255, -118.2991),9
(34.0255, -118.3002),125
(34.0255, -118.3015),7
(34.0255, -118.3027),74
(34.0255, -118.304),4
(34.0255, -118.3047),51
(34.0255, -118.3508),21
(34.0255, -118.352),35
(34.0255, -118.3548),244
(34.0255, -118.356),24
(34.0255, -118.3562),9
(34.0255, -118.357),7
(34.0255, -118.3571),2
(34.0255, -118.3581),26
(34.0255, -118.3591),8
(34.0255, -118.3601),4
(34.0255, -118.4063),130
(34.0255, -118.4308),81
(34.0255, -118.4444),24
(34.0256, -118.1961),109
(34.0256, -118.1992),71
(34.0256, -118.2049),10
(34.0256, -118.2093),3
(34.0256, -118.2178),17
(34.0256, -118.2245),47
(34.0256, -118.2299),61
(34.0256, -118.2322),5
(34.0256, -118.2349),34
(34.0256, -118.2495),15
(34.0256, -118.2588),6
(34.0256, -118.2769),1
(34.0256, -118.3054),2
(34.0256, -118.3061),208
(34.0256, -118.3066),4
(34.0256, -118.3068),1
(34.0256, -118.3078),3
(34.0256, -118.3089),278
(34.0256, -118.3119),40
(34.0256, -118.312),84
(34.0256, -118.3138),27
(34.0256, -118.3151),67
(34.0256, -118.3156),15
(34.0256, -118.3177),155
(34.0256, -118.3189),116
(34.0256, -118.3193),30
(34.0256, -118.3201),21
(34.0256, -118.3205),27
(34.0256, -118.3212),93
(34.0256, -118.3224),54
(34.0256, -118.3236),83
(34.0256, -118.3248),69
(34.0256, -118.326),62
(34.0256, -118.3272),113
(34.0256, -118.3282),62
(34.0256, -118.3283),5
(34.0256, -118.3293),50
(34.0256, -118.3294),4
(34.0256, -118.3305),108
(34.0256, -118.3317),64
(34.0256, -118.3327),55
(34.0256, -118.3338),61
(34.0256, -118.3351),189
(34.0256, -118.3363),29
(34.0256, -118.3374),59
(34.0256, -118.3384),41
(34.0256, -118.3395),65
(34.0256, -118.3405),63
(34.0256, -118.3417),65
(34.0256, -118.3429),65
(34.0256, -118.3439),37
(34.0256, -118.345),42
(34.0256, -118.346),51
(34.0256, -118.3471),55
(34.0256, -118.3484),41
(34.0256, -118.3495),4
(34.0256, -118.3547),2
(34.0256, -118.3612),24
(34.0256, -118.3951),6
(34.0256, -118.4005),61
(34.0256, -118.4328),1
(34.0257, -118.2023),92
(34.0257, -118.2117),19
(34.0257, -118.2139),23
(34.0257, -118.217),53
(34.0257, -118.2436),6
(34.0257, -118.2655),8
(34.0257, -118.346),1
(34.0257, -118.3993),37
(34.0257, -118.4156),81
(34.0257, -118.4175),3
(34.0257, -118.4273),4
(34.0257, -118.4378),4
(34.0257, -118.441),17
(34.0257, -118.451),28
(34.0258, -118.2375),1
(34.0258, -118.2402),13
(34.0258, -118.2435),10
(34.0258, -118.2493),1
(34.0258, -118.2494),6
(34.0258, -118.2508),10
(34.0258, -118.2586),16
(34.0258, -118.2613),35
(34.0258, -118.2639),31
(34.0258, -118.268),13
(34.0258, -118.2681),30
(34.0258, -118.2708),117
(34.0258, -118.2775),96
(34.0258, -118.2796),122
(34.0258, -118.2915),1
(34.0258, -118.3177),1
(34.0258, -118.3236),1
(34.0258, -118.3248),1
(34.0258, -118.326),1
(34.0258, -118.3508),1
(34.0258, -118.3722),2
(34.0258, -118.3938),2
(34.0259, -118.2081),27
(34.0259, -118.2092),1
(34.0259, -118.2535),116
(34.0259, -118.2561),36
(34.0259, -118.2586),19
(34.0259, -118.2639),14
(34.0259, -118.3177),1
(34.0259, -118.3224),2
(34.0259, -118.3638),10
(34.0259, -118.4096),114
(34.0259, -118.4233),18
(34.0259, -118.4342),2
(34.0259, -118.4512),14
(34.0259, -118.4803),1
(34.026, -118.1939),1
(34.026, -118.2102),14
(34.026, -118.2162),31
(34.026, -118.2322),67
(34.026, -118.2334),3
(34.026, -118.237),4
(34.026, -118.2412),33
(34.026, -118.246),23
(34.026, -118.2758),23
(34.026, -118.2763),3
(34.026, -118.3439),1
(34.026, -118.3508),1
(34.026, -118.3652),21
(34.0261, -118.2061),4
(34.0261, -118.2148),4
(34.0261, -118.2665),25
(34.0261, -118.2773),246
(34.0261, -118.2839),23
(34.0261, -118.2915),1
(34.0261, -118.2959),24
(34.0261, -118.3089),1
(34.0261, -118.3662),30
(34.0261, -118.3941),38
(34.0261, -118.3942),5
(34.0261, -118.3996),16
(34.0261, -118.4052),129
(34.0261, -118.4091),1
(34.0261, -118.4126),103
(34.0261, -118.437),4
(34.0261, -118.4963),1
(34.0262, -118.1957),1
(34.0262, -118.202),22
(34.0262, -118.2033),3
(34.0262, -118.209),31
(34.0262, -118.2334),15
(34.0262, -118.2518),23
(34.0262, -118.2772),92
(34.0262, -118.3002),19
(34.0262, -118.3015),13
(34.0262, -118.3027),6
(34.0262, -118.304),9
(34.0262, -118.3054),9
(34.0262, -118.3066),13
(34.0262, -118.3078),12
(34.0262, -118.3212),7
(34.0262, -118.3519),8
(34.0262, -118.4401),9
(34.0262, -118.444),37
(34.0262, -118.4501),27
(34.0263, -118.1923),71
(34.0263, -118.2066),2
(34.0263, -118.2124),44
(34.0263, -118.2196),24
(34.0263, -118.2202),4
(34.0263, -118.2422),4
(34.0263, -118.257),26
(34.0263, -118.2609),16
(34.0263, -118.2649),3
(34.0263, -118.2691),23
(34.0263, -118.2808),148
(34.0263, -118.2948),38
(34.0263, -118.3224),11
(34.0263, -118.3236),58
(34.0263, -118.3248),6
(34.0263, -118.326),22
(34.0263, -118.3272),12
(34.0263, -118.3327),1
(34.0263, -118.3351),1
(34.0263, -118.3417),1
(34.0263, -118.3429),1
(34.0263, -118.3686),84
(34.0263, -118.4314),159
(34.0263, -118.4428),2
(34.0263, -118.516),11
(34.0264, -118.2112),5
(34.0264, -118.2179),22
(34.0264, -118.2209),53
(34.0264, -118.2215),1
(34.0264, -118.2488),69
(34.0264, -118.2596),12
(34.0264, -118.278),209
(34.0264, -118.2915),34
(34.0264, -118.2937),10
(34.0264, -118.297),12
(34.0264, -118.2991),17
(34.0264, -118.3481),11
(34.0264, -118.3598),14
(34.0264, -118.3608),6
(34.0264, -118.3721),117
(34.0264, -118.4012),2
(34.0264, -118.4085),40
(34.0264, -118.4224),19
(34.0264, -118.4363),4
(34.0265, -118.198),18
(34.0265, -118.2158),12
(34.0265, -118.2219),43
(34.0265, -118.2346),2
(34.0265, -118.2349),3
(34.0265, -118.243),22
(34.0265, -118.2549),21
(34.0265, -118.2723),202
(34.0265, -118.284),1
(34.0265, -118.2882),75
(34.0265, -118.2885),9
(34.0265, -118.3089),70
(34.0265, -118.312),58
(34.0265, -118.3151),42
(34.0265, -118.3177),60
(34.0265, -118.3212),2
(34.0265, -118.3556),8
(34.0265, -118.3721),35
(34.0265, -118.3933),38
(34.0265, -118.4045),61
(34.0265, -118.4184),123
(34.0265, -118.4279),158
(34.0266, -118.2042),35
(34.0266, -118.2099),33
(34.0266, -118.2111),12
(34.0266, -118.2299),26
(34.0266, -118.2322),30
(34.0266, -118.2676),21
(34.0266, -118.277),31
(34.0266, -118.3566),10
(34.0266, -118.3933),11
(34.0266, -118.4117),49
(34.0266, -118.4394),17
(34.0266, -118.4492),13
(34.0266, -118.5184),2
(34.0267, -118.1954),91
(34.0267, -118.1985),218
(34.0267, -118.2016),41
(34.0267, -118.2133),29
(34.0267, -118.2359),18
(34.0267, -118.2369),3
(34.0267, -118.2412),1
(34.0267, -118.2528),24
(34.0267, -118.258),26
(34.0267, -118.2592),1
(34.0267, -118.2675),15
(34.0267, -118.2817),55
(34.0267, -118.3351),2
(34.0267, -118.3429),1
(34.0267, -118.3721),48
(34.0267, -118.3738),9
(34.0267, -118.3986),135
(34.0267, -118.408),1
(34.0267, -118.4304),6
(34.0268, -118.2075),5
(34.0268, -118.2109),2
(34.0268, -118.2454),11
(34.0268, -118.2513),2
(34.0268, -118.2555),13
(34.0268, -118.2605),38
(34.0268, -118.2618),37
(34.0268, -118.266),41
(34.0268, -118.2702),61
(34.0268, -118.2753),82
(34.0268, -118.2808),431
(34.0268, -118.284),118
(34.0268, -118.2896),131
(34.0268, -118.2981),21
(34.0268, -118.3282),1
(34.0268, -118.3318),50
(34.0268, -118.346),2
(34.0268, -118.3528),3
(34.0268, -118.3571),3
(34.0268, -118.3721),4
(34.0268, -118.3754),16
(34.0268, -118.4163),15
(34.0268, -118.4216),13
(34.0268, -118.4302),13
(34.0268, -118.8279),1
(34.0269, -118.2167),5
(34.0269, -118.2498),1
(34.0269, -118.2499),5
(34.0269, -118.2858),60
(34.0269, -118.2882),4
(34.0269, -118.2915),30
(34.0269, -118.2937),6
(34.0269, -118.349),22
(34.0269, -118.3575),45
(34.0269, -118.3606),43
(34.0269, -118.3756),8
(34.0269, -118.3757),6
(34.0269, -118.4037),110
(34.0269, -118.4133),126
(34.0269, -118.4299),2
(34.0269, -118.43),1
(34.0269, -118.4387),4
(34.0269, -118.5164),3
(34.027, -118.2051),25
(34.027, -118.2369),31
(34.027, -118.2815),1
(34.027, -118.3533),5
(34.027, -118.3612),3
(34.027, -118.3661),30
(34.027, -118.3667),29
(34.027, -118.3924),22
(34.027, -118.4074),95
(34.027, -118.4241),3
(34.027, -118.4483),23
(34.027, -118.5164),10
(34.0271, -118.2172),6
(34.0271, -118.2427),1
(34.0271, -118.2537),1
(34.0271, -118.2736),2
(34.0271, -118.2767),71
(34.0271, -118.3585),58
(34.0271, -118.3676),1
(34.0271, -118.4106),99
(34.0271, -118.4264),16
(34.0271, -118.4265),5
(34.0271, -118.4295),7
(34.0271, -118.4296),2
(34.0271, -118.4357),8
(34.0271, -118.4421),48
(34.0271, -118.5151),18
(34.0272, -118.2084),5
(34.0272, -118.2118),3
(34.0272, -118.2322),5
(34.0272, -118.2391),1
(34.0272, -118.248),59
(34.0272, -118.2523),4
(34.0272, -118.2616),21
(34.0272, -118.2685),36
(34.0272, -118.2882),1
(34.0272, -118.2937),3
(34.0272, -118.2948),53
(34.0272, -118.2959),11
(34.0272, -118.3293),1
(34.0272, -118.3305),1
(34.0272, -118.3351),5
(34.0272, -118.3363),2
(34.0272, -118.3405),1
(34.0272, -118.3537),110
