dist,count
31,143
12,321517
22,215524
None,51
1,248654
16,217665
6,377579
3,334880
20,114320
5,290958
19,292503
15,287824
9,327111
17,190727
4,373077
8,448226
7,388976
10,280036
25,380885
24,196126
21,4
11,418715
14,259859
2,317014
18,285740
