day,count
31,124330
28,213173
26,210980
27,212009
12,215766
22,212558
1,256755
13,214006
16,215903
6,213821
3,212239
20,219511
5,214151
19,214757
15,223632
17,217040
9,214490
4,211152
8,213894
23,214114
7,213993
10,217674
25,209030
24,211035
29,200743
21,215208
11,214170
14,216613
2,212577
30,197379
18,215411
